,Time,Base_B02512,Base_B02598,Base_B02617,Base_B02682,Base_B02764,Base_B02765
233,2014-04-10 17:00:00,114.0,530.0,350.0,731.0,32.0,0.0
234,2014-04-10 18:00:00,83.0,484.0,284.0,650.0,34.0,0.0
235,2014-04-10 19:00:00,86.0,402.0,247.0,551.0,26.0,0.0
236,2014-04-10 20:00:00,94.0,435.0,289.0,620.0,23.0,0.0
237,2014-04-10 21:00:00,67.0,450.0,292.0,638.0,30.0,0.0
238,2014-04-10 22:00:00,45.0,266.0,203.0,434.0,21.0,0.0
239,2014-04-10 23:00:00,32.0,162.0,129.0,237.0,12.0,0.0
240,2014-04-11 00:00:00,12.0,59.0,41.0,127.0,11.0,0.0
241,2014-04-11 01:00:00,8.0,48.0,31.0,71.0,3.0,0.0
242,2014-04-11 02:00:00,12.0,26.0,18.0,52.0,1.0,0.0
243,2014-04-11 03:00:00,16.0,64.0,26.0,89.0,2.0,0.0
244,2014-04-11 04:00:00,20.0,60.0,39.0,107.0,2.0,0.0
245,2014-04-11 05:00:00,25.0,80.0,73.0,156.0,3.0,0.0
246,2014-04-11 06:00:00,52.0,248.0,162.0,329.0,9.0,0.0
247,2014-04-11 07:00:00,67.0,287.0,243.0,431.0,13.0,0.0
248,2014-04-11 08:00:00,57.0,262.0,201.0,395.0,11.0,0.0
249,2014-04-11 09:00:00,35.0,176.0,125.0,260.0,10.0,0.0
250,2014-04-11 10:00:00,49.0,161.0,158.0,259.0,4.0,0.0
251,2014-04-11 11:00:00,48.0,183.0,148.0,279.0,6.0,0.0
252,2014-04-11 12:00:00,48.0,205.0,164.0,273.0,12.0,0.0
253,2014-04-11 13:00:00,63.0,262.0,198.0,341.0,16.0,0.0
254,2014-04-11 14:00:00,62.0,304.0,182.0,329.0,16.0,0.0
255,2014-04-11 15:00:00,89.0,360.0,276.0,523.0,18.0,0.0
256,2014-04-11 16:00:00,93.0,436.0,294.0,583.0,26.0,0.0
257,2014-04-11 17:00:00,99.0,489.0,307.0,669.0,27.0,0.0
258,2014-04-11 18:00:00,99.0,482.0,281.0,632.0,24.0,0.0
259,2014-04-11 19:00:00,85.0,416.0,247.0,587.0,22.0,0.0
260,2014-04-11 20:00:00,75.0,375.0,214.0,477.0,14.0,0.0
261,2014-04-11 21:00:00,79.0,378.0,213.0,489.0,21.0,0.0
262,2014-04-11 22:00:00,87.0,472.0,246.0,552.0,25.0,0.0
263,2014-04-11 23:00:00,82.0,380.0,188.0,442.0,22.0,0.0
264,2014-04-12 00:00:00,42.0,214.0,111.0,292.0,7.0,0.0
265,2014-04-12 01:00:00,28.0,152.0,68.0,202.0,8.0,0.0
266,2014-04-12 02:00:00,15.0,95.0,46.0,108.0,8.0,0.0
267,2014-04-12 03:00:00,13.0,61.0,28.0,73.0,3.0,0.0
268,2014-04-12 04:00:00,8.0,56.0,32.0,59.0,4.0,0.0
269,2014-04-12 05:00:00,8.0,48.0,29.0,80.0,5.0,0.0
270,2014-04-12 06:00:00,8.0,75.0,41.0,74.0,2.0,0.0
271,2014-04-12 07:00:00,13.0,76.0,46.0,113.0,7.0,0.0
272,2014-04-12 08:00:00,13.0,100.0,65.0,161.0,5.0,0.0
273,2014-04-12 09:00:00,22.0,126.0,82.0,173.0,6.0,0.0
274,2014-04-12 10:00:00,32.0,148.0,110.0,211.0,13.0,0.0
275,2014-04-12 11:00:00,32.0,151.0,122.0,229.0,10.0,0.0
276,2014-04-12 12:00:00,40.0,193.0,125.0,241.0,12.0,0.0
277,2014-04-12 13:00:00,33.0,208.0,118.0,252.0,17.0,0.0
278,2014-04-12 14:00:00,52.0,236.0,139.0,268.0,20.0,0.0
279,2014-04-12 15:00:00,61.0,352.0,208.0,439.0,23.0,0.0
280,2014-04-12 16:00:00,75.0,445.0,235.0,509.0,28.0,0.0
281,2014-04-12 17:00:00,71.0,391.0,234.0,506.0,28.0,0.0
282,2014-04-12 18:00:00,88.0,519.0,270.0,697.0,43.0,0.0
283,2014-04-12 19:00:00,67.0,412.0,228.0,543.0,21.0,0.0
284,2014-04-12 20:00:00,80.0,346.0,189.0,429.0,19.0,0.0
285,2014-04-12 21:00:00,97.0,447.0,234.0,574.0,30.0,0.0
286,2014-04-12 22:00:00,91.0,559.0,282.0,685.0,31.0,0.0
287,2014-04-12 23:00:00,98.0,498.0,260.0,587.0,18.0,0.0
288,2014-04-13 00:00:00,63.0,401.0,190.0,455.0,21.0,0.0
289,2014-04-13 01:00:00,32.0,232.0,115.0,284.0,7.0,0.0
290,2014-04-13 02:00:00,17.0,108.0,59.0,148.0,5.0,0.0
291,2014-04-13 03:00:00,17.0,70.0,49.0,94.0,6.0,0.0
292,2014-04-13 04:00:00,11.0,52.0,29.0,61.0,2.0,0.0
293,2014-04-13 05:00:00,5.0,45.0,25.0,54.0,1.0,0.0
294,2014-04-13 06:00:00,9.0,53.0,36.0,79.0,2.0,0.0
295,2014-04-13 07:00:00,7.0,59.0,49.0,99.0,3.0,0.0
296,2014-04-13 08:00:00,20.0,83.0,70.0,118.0,3.0,0.0
